Modelo,Tratamiento,Normal,Loss,Loss1,Loss2,Percentil,Accuracy,F1-Score,Precision,AUC-ROC,Recall
Model1,ELIMINACION,STANDARD,mae,MSE,MSE,99,0.9892781636967684,0.9020689655172414,0.8537859007832899,0.9736115767124819,0.956140350877193
Model2,ELIMINACION,STANDARD,mae,MSE,MSE,99,0.9954696466324373,0.9577464788732394,0.9239130434782609,0.9948467240287555,0.9941520467836257
Model3,ELIMINACION,STANDARD,mae,MSE,MSE,99,0.9951676230745998,0.9553072625698323,0.9144385026737968,0.9974522292993631,1.0
Model4,ELIMINACION,STANDARD,mae,MSE,MSE,99,0.9942615524010873,0.9467787114845938,0.9086021505376344,0.991445040414199,0.9883040935672515
Model1,ELIMINACION,MINMAX,mse,MAE,MAE,99.9,0.9950166112956811,0.9500756429652043,0.9843260188087775,0.9586662383134055,0.9181286549707602
Model2,ELIMINACION,MINMAX,mse,MAE,MAE,99.9,0.9885231048021745,0.8758169934640523,0.9925925925925926,0.8916536298282861,0.783625730994152
Model3,ELIMINACION,MINMAX,mse,MAE,MAE,99.9,0.9962247055270311,0.962178517397882,0.9968652037617555,0.9648326628673594,0.9298245614035088
Model4,ELIMINACION,MINMAX,mse,MAE,MAE,99.9,0.9959226819691936,0.9590288315629741,0.9968454258675079,0.9619086862591724,0.9239766081871345
Model1,ELIMINACION,MINMAX,mse,MAE,MAE,99.5,0.9954696466324373,0.9572649572649572,0.9333333333333333,0.9893172421499609,0.9824561403508771
Model2,ELIMINACION,MINMAX,mse,MAE,MAE,99.5,0.9874660223497432,0.8688783570300157,0.9450171821305842,0.9007728982754125,0.804093567251462
Model3,ELIMINACION,MINMAX,mse,MAE,MAE,99.5,0.9965267290848686,0.9659259259259261,0.978978978978979,0.9760508622937386,0.9532163742690059
Model4,ELIMINACION,MINMAX,mse,MAE,MAE,99.5,0.9959226819691936,0.9599999999999999,0.972972972972973,0.9729676500167614,0.9473684210526315
Model1,ELIMINACION,MINMAX,mse,MAE,MAE,99,0.9922983992751434,0.9300411522633745,0.875968992248062,0.9917923790367639,0.9912280701754386
Model2,ELIMINACION,MINMAX,mse,MAE,MAE,99,0.9871639987919058,0.874074074074074,0.8858858858858859,0.9282610720005959,0.8625730994152047
Model3,ELIMINACION,MINMAX,mse,MAE,MAE,99,0.9948655995167623,0.9515669515669516,0.9277777777777778,0.9862340298729839,0.9766081871345029
Model4,ELIMINACION,MINMAX,mse,MAE,MAE,99,0.993808517064331,0.9418439716312056,0.9146005509641874,0.9829119640928223,0.9707602339181286
Model1,ELIMINACION,MINMAX,mse,MSE,MSE,99.9,0.9909392932648746,0.9056603773584905,0.9795918367346939,0.9205749245725778,0.8421052631578947
Model2,ELIMINACION,MINMAX,mse,MSE,MSE,99.9,0.9972817879794624,0.9730538922155688,0.9969325153374233,0.9750665809960144,0.9502923976608187
Model3,ELIMINACION,MINMAX,mse,MSE,MSE,99.9,0.9957716701902748,0.9575757575757576,0.9937106918238994,0.9618290684247774,0.9239766081871345
Model4,ELIMINACION,MINMAX,mse,MSE,MSE,99.9,0.9910903050437934,0.9067930489731437,0.9862542955326461,0.9192721719372741,0.8391812865497076
Model1,ELIMINACION,MINMAX,mse,MSE,MSE,99.5,0.9927514346118997,0.9304347826086956,0.9224137931034483,0.9671485640853728,0.9385964912280702
Model2,ELIMINACION,MINMAX,mse,MSE,MSE,99.5,0.9975838115372999,0.9765395894428153,0.9794117647058823,0.9862847804223936,0.9736842105263158
Model3,ELIMINACION,MINMAX,mse,MSE,MSE,99.5,0.9962247055270311,0.9631811487481591,0.9703264094955489,0.9772739970946475,0.956140350877193
Model4,ELIMINACION,MINMAX,mse,MSE,MSE,99.5,0.9907882814859559,0.907715582450832,0.9404388714733543,0.937083752374567,0.8771929824561403
Model1,ELIMINACION,MINMAX,mse,MSE,MSE,99,0.9885231048021745,0.8947368421052632,0.85,0.9676840056617126,0.9444444444444444
Model2,ELIMINACION,MINMAX,mse,MSE,MSE,99,0.9953186348535186,0.9561527581329561,0.9260273972602739,0.9920023652549633,0.9883040935672515
Model3,ELIMINACION,MINMAX,mse,MSE,MSE,99,0.9950166112956811,0.9534555712270804,0.9209809264305178,0.9918431295861735,0.9883040935672515
Model4,ELIMINACION,MINMAX,mse,MSE,MSE,99,0.9891271519178496,0.8962536023054756,0.8835227272727273,0.9514140313629084,0.9093567251461988
Model1,ELIMINACION,MINMAX,mae,MAE,MAE,99.9,0.9877680459075808,0.8682926829268293,0.978021978021978,0.8898731701866129,0.7807017543859649
